Hypocotyl colour,Stem determination,Days to 50% flowering,Flower colour,Leaf shape,Leaflet colour,Pubescence colour,Pubescence density,Pubescence type,Plant height,Number of primary branches,Pod colour,Number of pods per plant,Days to 80% maturity,Seed coat colour,Cotyledon colour,Hilum colour,Seed coat pattern,Strophiole at the hilum,Seed coat surface lusture,Number of seeds per pod,100 seed weight (g),Seed yield per plant (g),Days to pod initiation,Number of node per plant
0,0,43,3,1,1,2,0,2,27,4.4,2,56.8,99,3,1,1,0,1,0,2.2,11.3,10.66,53,10
1,0,54,1,1,2,2,1,1,20,4,1,63,107,3,1,0,0,1,0,2.2,7.1,1.52,62,8
0,0,51,3,1,1,2,3,0,33,4.2,2,76.2,114,3,1,0,0,1,1,2.8,7.3,6.94,59,10.8
1,0,43,2,1,1,2,2,2,37,3.6,2,40.2,101,3,1,1,0,1,0,2.2,10.5,7.7,55,10.6
1,2,57,2,1,2,2,0,1,67,3.6,1,33.8,104,3,1,1,0,1,0,1.8,6.8,4.86,69,9.4
0,0,41,3,1,1,2,1,2,24.4,4.6,2,32.8,112,3,1,0,0,1,0,2.4,9,3.48,50,11
1,2,58,2,1,2,2,1,2,63.6,6.2,2,75.6,107,3,1,1,0,1,0,2.4,6.1,3,69,12.8
0,2,52,3,1,1,0,0,1,55.6,4.2,3,41.4,111,3,1,1,1,1,0,2.8,12.6,9.82,62,14
1,2,59,2,1,2,2,0,1,49,3.6,1,56.2,113,3,1,1,0,1,0,2.6,6.5,2.48,69,18.4
0,2,43,3,1,2,2,1,1,32.8,4.4,2,41.2,108,3,1,0,1,1,1,2.6,11,5.96,55,11
0,0,45,3,1,1,2,2,0,21.75,3,2,29.75,100,2,1,1,0,1,0,1.8,12.9,2.44,56,7.5
0,2,53,3,1,2,2,1,1,57.6,2.2,1,23.2,106,3,1,1,0,1,0,2,6.6,2.46,65,14.8
1,0,44,2,1,1,2,1,2,56.8,3.4,1,54.2,92,3,1,1,0,1,0,2.6,6.4,3.68,57,13.8
1,2,53,2,1,2,2,1,1,47.5,6.5,1,175,103,3,1,1,1,1,0,2.6,6.9,6.04,62,15
1,2,41,2,1,1,2,1,1,27,3.2,2,45.2,96,1,0,0,0,1,1,3.4,8.4,7.28,50,13.6
0,0,43,3,1,1,2,1,2,34,4.6,1,50.6,98,3,1,0,0,1,1,2,9.7,7.64,57,10.8
1,2,57,2,1,2,2,1,1,77.6,4,1,51.6,106,3,1,1,0,1,0,2.2,6,3.82,64,16
1,0,39,2,1,1,2,2,2,20.6,3.8,2,38.6,99,3,1,0,1,1,0,2.4,9.2,5.12,50,8.6
1,2,51,2,1,2,2,1,0,60.8,3,3,41.6,109,3,1,1,0,1,0,2.2,6,4.28,62,13.8
1,2,57,2,1,2,2,1,1,73.6,3.2,2,34.4,107,0,1,0,0,0,0,2.4,6.1,2.18,71,17.2
1,0,61,2,1,1,2,0,2,34.2,3.8,2,36.8,89,0,1,0,0,0,1,2.2,7.2,4.34,40,11
1,2,47,2,1,1,1,2,0,62.4,4,1,40,94,3,1,1,0,1,1,2.4,8.3,4.1,58,12.4
0,0,47,3,1,1,2,0,1,30.8,4,2,70.6,108,3,1,0,0,1,0,2.6,10.2,12.52,58,13.2
0,0,38,3,2,1,1,2,2,26.8,2.4,3,15.6,91,3,1,1,0,1,1,2,11.1,2.38,50,9.2
1,2,56,2,1,2,2,1,1,51,4.2,2,109.6,104,3,1,1,0,1,0,2,6.5,10.06,66,14.8
0,0,48,3,0,0,2,0,1,46.6,3.2,1,54.4,106,3,1,1,0,1,0,1.6,8.9,8.74,60,12.4
1,2,53,2,1,2,2,1,1,72,3.4,1,53.4,106,3,1,1,0,1,0,2.2,7.4,2.88,62,15.2
1,2,58,2,1,2,2,1,1,38.8,3.2,1,33.6,108,4,1,1,0,1,0,2.6,5.6,3.6,66,9.6
0,2,50,3,1,2,2,1,1,42,3.2,1,44.4,114,4,1,1,0,1,1,2.6,6.5,4.56,60,18.8
1,0,47,2,1,1,2,3,0,20.6,2.6,1,32.6,101,3,1,0,1,1,0,1.8,13.6,3.96,58,7.8
1,0,45,2,1,1,2,0,2,22.4,3,2,30.6,106,3,1,0,0,1,1,3.2,9,3.64,57,12
1,0,43,2,1,1,2,0,1,27.2,3.8,1,43.6,103,1,0,0,0,1,0,2.6,11.2,10,56,10.8
0,0,43,3,1,0,2,1,2,20.2,1.6,2,20.4,103,3,1,0,0,1,1,1.8,9.2,4.08,54,8.2
0,2,55,3,1,2,2,3,0,25,3.8,3,30,116,3,1,0,0,1,0,2.4,6.5,2.52,66,11.2
1,0,46,2,1,1,2,3,0,27.6,5.2,2,70.2,110,3,1,1,0,1,0,2.6,8.8,6.72,58,10
1,0,47,2,1,2,2,2,0,42.4,3.6,1,64.6,109,4,1,6,0,1,1,2.2,8.8,6.12,56,14.2
1,0,48,1,1,2,2,0,2,55.8,3.4,1,49.2,108,4,1,6,0,1,1,2,9.4,5.02,58,13.2
1,2,36,2,1,1,1,1,1,41.8,1.8,3,25.2,89,1,0,3,0,1,1,2.4,9.7,4.06,45,10.6
1,2,54,2,1,2,2,1,1,54.8,4.4,1,65.8,107,3,1,1,0,1,0,2,6.3,6.04,64,13
1,2,48,2,1,2,2,1,1,52,1.8,2,30.6,109,3,1,0,0,1,1,2.2,6.1,2.08,56,12.6
1,0,43,2,1,1,2,2,0,25.2,2.8,3,22.4,91,3,1,1,0,1,1,2.4,12.5,4.1,52,8
1,2,54,2,1,2,1,1,1,51.6,4.4,1,41.2,112,0,1,0,0,0,0,2.4,6.4,2.88,64,16.4
0,0,45,3,1,1,2,0,2,51.4,3,3,44.8,108,3,1,1,1,1,0,2,11,9.6,58,12
0,0,51,3,1,1,2,1,2,36.8,3.8,3,42.4,109,4,1,1,1,1,0,2.4,10.1,7.52,62,11
1,0,46,2,1,1,2,0,1,45.2,3,2,45.2,107,3,1,1,0,1,1,2.2,9.9,10.6,58,11
1,2,57,2,1,2,2,1,1,46,4.8,1,106.2,106,3,1,1,0,1,0,2.6,6,6.46,66,16.6
1,2,50,2,1,2,2,1,1,52.2,3.2,1,35.8,108,3,1,1,0,1,0,2.2,5.7,3.08,62,14.8
1,2,58,2,1,2,2,0,1,51,4,1,55.4,110,3,1,1,0,1,0,2.4,6.5,1.66,71,11.8
1,2,45,2,1,1,2,3,0,47.6,5.8,2,87.2,115,0,1,0,0,0,1,2.8,8.1,7.2,58,17
1,2,57,2,1,2,2,1,1,61.8,3.8,3,44.6,113,0,1,0,0,0,1,2,5.8,3.42,66,16.4
0,0,51,3,1,1,0,0,1,19.4,4.4,3,50.8,111,3,1,6,1,1,1,1.8,7.5,4.14,60,8.4
0,0,48,3,1,2,0,0,2,25.6,3.2,3,46,112,4,1,1,1,1,1,2.4,7.3,4.96,58,10.6
0,0,57,3,1,2,0,0,1,33,8,3,40,108,3,1,1,1,1,0,1.8,10.2,0.64,63,11
1,2,55,2,1,2,1,1,1,43.6,2.8,3,59.4,111,4,1,1,0,1,1,2,6.3,2.08,66,13.6
1,2,34,2,1,1,2,0,1,37,3.6,2,58.2,94,0,1,0,0,0,1,2.4,5.5,4.96,45,13.2
0,0,30,3,1,1,1,1,1,21.33333333,1.666666667,1,23.33333333,82,2,1,1,0,0,1,2.6,11.3,0.36,37,8.333333333
1,2,56,2,1,2,2,1,1,61,4.4,1,72.8,115,0,1,0,0,0,1,2.4,8.1,3.66,62,14
1,2,34,2,1,1,2,0,2,40.2,4,2,46.2,99,2,1,1,0,1,1,2.4,4.5,4.16,44,12.4
1,2,57,2,2,2,0,1,1,32.66666667,4,3,81.66666667,107,4,1,6,0,0,1,1.8,5.8,2.88,64,11.33333333
1,2,58,2,1,2,2,1,1,69.4,4.2,1,79.6,110,3,1,1,0,1,0,2.4,5.6,2.92,66,15.4
1,2,52,2,1,2,2,1,1,51,3.6,2,29,109,3,1,1,0,1,0,2.4,6.6,1.46,63,11
1,0,47,1,1,2,2,1,1,65,2.4,1,33.6,106,4,1,6,0,1,1,2.6,7.7,2.02,56,14.6
0,0,50,3,1,2,0,0,1,65.8,3.6,3,31.6,105,3,1,1,1,1,0,2,8.9,5.46,63,14.6
0,2,51,3,1,1,1,0,2,79.25,2.75,3,29.75,106,3,1,1,1,1,0,2,9,4.16,62,12.5
0,2,52,3,1,1,1,0,2,64,2.2,3,57,105,3,1,1,1,1,0,2.2,8.9,8.38,62,12.2
0,0,43,3,1,1,2,1,1,36,5.8,2,49,115,3,1,1,0,1,0,2.6,8.8,7.62,53,10.6
1,0,50,2,1,1,2,1,1,70.6,2.4,1,19.4,112,4,1,6,0,1,1,2.6,8.2,1.32,57,12.6
0,2,52,3,1,2,2,0,1,61.4,3.6,2,44.4,105,3,1,1,0,1,0,2.2,6.1,2.94,65,13.8
1,2,27,2,1,1,0,3,0,45.4,2.4,1,29.4,86,2,1,1,0,1,1,2.4,6,3.74,37,12.6
1,2,53,2,1,2,2,1,1,49.6,2.4,1,20.8,114,0,1,0,0,0,0,1.8,9.2,2.34,65,14.6
1,2,51,2,1,2,2,1,1,78.8,4,3,30,115,0,1,0,0,0,1,2.2,7.5,1.84,63,15.4
1,0,50,2,1,2,2,0,0,44.6,3.8,1,62.6,109,4,1,1,1,1,1,2.2,9.3,4.18,57,14.4
1,0,40,2,1,0,0,1,2,51.2,3.6,1,43,94,3,1,1,1,1,1,2,9.1,9.2,49,13.4
1,2,55,2,1,2,2,1,1,60.8,4,1,73.4,105,3,1,1,0,1,0,1.8,7.4,3.42,62,16.4
